Player name,Guild,Discord name,,,,,,,,,,,,,,,,,,,,,Guild,public?,Player name,Score Rank,Avg Score,NM Clears,VH Clears,W4 Clears,W3 Clears,H Clears,Misses,Best Phase,Best Score,Worst Phase,Worst Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,M. No Aff,R. Quincy,M/R Human,R. Soul Reaper,M. Soul Reaper,M. Espada,R. Captain,R. Arrancar,M. Quincy,R. Espada,M. Captain,M. Hollow,R. SZ,R. Hollow,M/R Sternritter,R. No Aff,M. Arrancar,M. Squad Zero,,,,,,(need to sort avg score first),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zekerdan,44,zekerdan,"137,614,124","59,681,549","59,791,550","96,170,722","53,807,697","60,052,600","39,512,776","108,207,138","60,812,450","60,465,950","53,600,002","86,431,179","59,825,750","78,666,606","84,100,003","108,911,583","102,687,063","59,440,100",,,44,y,Zekerdan,36,"76,098,825",0,0,1,7,15,0,M. No Aff,"137,614,124",R. Captain,"39,512,776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大猿,45,edo_tensi,,,,,,,,,"241,235,794","361,389,506","165,975,200","166,065,300","166,179,400","165,409,400","165,636,100","166,280,200","302,955,300","302,427,100",,,45,,大猿,37,"220,355,330",3,10,10,10,10,0,R. Espada,"361,389,506",R. Hollow,"165,409,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phase,M. No Aff,R. Quincy,M/R Human,R. Soul Reaper,M. Soul Reaper,M. Espada,R. Captain,R. Arrancar,M. Quincy,R. Espada,M. Captain,M. Hollow,R. SZ,R. Hollow,M/R Sternritter,R. No Aff,M. Arrancar,M. Squad Zero,,,,Phase,M. No Aff,R. Quincy,M/R Human,R. Soul Reaper,M. Soul Reaper,M. Espada,R. Captain,R. Arrancar,M. Quincy,R. Espada,M. Captain,M. Hollow,R. SZ,R. Hollow,M/R Sternritter,R. No Aff,M. Arrancar,M. Squad Zero
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#1 Score holder,@kocejam,@nour.db,@kocejam,@kocejam,@kayers.j,@kocejam,@kocejam,@shidekix,@pat7res,@kayers.j,@kocejam,@nour.db,@nour.db,@Stunna,@.selyan,@kocejam2,@kimetsyaiba,@myste4024,#N/A,#N/A,,Average Score,"261,072,137","189,904,774","143,221,005","158,242,694","163,556,833","149,911,625","154,895,792","160,030,671","234,999,628","249,595,116","150,186,165","161,039,646","142,752,012","161,282,487","158,178,390","164,521,777","274,387,214","229,685,541"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#1 Score,"303,297,699","300,785,100","164,428,100","165,616,800","166,607,100","165,718,000","165,101,500","166,289,900","303,562,599","302,416,400","166,595,600","166,533,600","165,967,400","165,548,200","166,648,300","166,109,100","303,633,500","302,271,100",0,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2 Score holder,@nour.db,@kocejam,@nour.db,@9chrispy6,@pat7res,@shidekix,@kocejam2,@kocejam,@kayers.j,@kimetsyaiba,@kayers.j,@kayers.j,@kocejam,@kayers.j,@kocejam,@kocejam,@kocejam,@kimetsyaiba,#NUM!,#NUM!,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2 Score,"303,293,800","300,736,000","163,884,800","165,363,200","166,585,100","164,973,599","164,735,799","165,707,800","303,432,200","301,574,100","166,595,300","166,482,000","165,489,900","165,494,500","166,632,300","166,101,000","303,000,900","301,296,900",#NUM!,#NUM!,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 Score holder,@kimetsyaiba,@kocejam2,@Stunna,@shidekix,@kocejam2,@nour.db,@unseer,@kayers.j,@9chrispy6,@milkshark,@pat7res,@kocejam,@kocejam2,@kocejam,@kocejam2,@nour.db,@9chrispy6,@kocejam,#NUM!,#NUM!,,,,,,,,,,,,,,,,,,,,
